,項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI,出願日,count,month,year,FI_class,FI_subclass,FI_classJP,FI_subclassJP
83,84,特願2016-116547,特開2017-220176,"2016/06/10
2017/12/14
-",判定装置、判定方法、および判定プログラム,富士通株式会社,"G05B23/02,302@R 
B25J19/06",2016-06-10,1,6,2016,"G05B
B25J","G05B23/02
B25J19/06","['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']
['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］']","['電気式試験または監視']
['安全装置［４］']"
84,85,特願2016-106428,特開2017-211930,"2016/05/27
2017/11/30
-",寿命故障条件を学習する機械学習装置，故障予知装置，機械システムおよび機械学習方法,ファナック株式会社,"G06N99/00,153 
G05B23/02,302@Z 
G06Q10/00,300",2016-05-27,1,5,2016,"G06Q
G06N
G05B","G06N99/00
G05B23/02
G06Q10/00","['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['特定の計算モデルに基づくコンピュータ・システム［７］']
['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']","['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
['電気式試験または監視']
['管理；経営［８，２０１２．０１］']"
85,86,特願2016-102066,特開2017-211682,"2016/05/23
2017/11/30
-",データ検索視点生成方法、設備管理装置およびそれを用いた設備管理システム,三菱電機株式会社,"G06F17/30,220@Z 
G06Q10/00,300 
G06F17/30,170@Z",2016-05-23,1,5,2016,"G06Q
G06F","G06F17/30
G06Q10/00
G06F17/30","['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']","['情報検索；そのためのデータベース構造［６］']
['管理；経営［８，２０１２．０１］']
['情報検索；そのためのデータベース構造［６］']"
86,87,特願2017-075064,特開2017-208078,"2017/04/05
2017/11/24
-",製造材料サプライチェーン途絶管理システム,ザ・ボーイング・カンパニー,"G05B19/418@Z 
G06Q10/08,332 
G06Q50/04",2017-04-05,1,4,2017,"G06Q
G05B","G05B19/41
G06Q10/08
G06Q50/04","['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']","['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']
['ロジスティックス，例．倉庫，積み荷，配達または輸送；資産あるいは在庫管理，例．注文処理，注文に対する調達または調整［２０１２．０１］']
['製造業［２０１２．０１］']"
87,88,特願2016-099394,特開2017-207891,"2016/05/18
2017/11/24
-",情報処理装置、情報処理システム、情報処理方法,ソニーモバイルコミュニケーションズ株式会社 他,"G06F3/01,510 
G06F3/16,520 
H04M1/00@U 
他",2016-05-18,1,5,2016,"他
G06F
H04M","G06F3/01
G06F3/16
H04M1/00@
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['電話通信（電話ケーブルを通して他の装置を制御するための回路であって電話機開閉装置に関わらないものＧ０８）']","['ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［８］']
['音声入力；音声出力（音声処理Ｇ１０Ｌ）']
[]
[]"
88,89,特願2016-099393,特開2017-207890,"2016/05/18
2017/11/24
-",情報処理装置、情報処理システム、情報処理方法,ソニーモバイルコミュニケーションズ株式会社 他,"G06F3/01,570 
G06F3/01,510",2016-05-18,1,5,2016,G06F,"G06F3/01
G06F3/01",['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）'],"['ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［８］']
['ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［８］']"
89,90,特願2016-087171,特開2017-199077,"2016/04/25
2017/11/02
-",複数台の産業機械を有する生産システムの動作を最適化するセルコントローラ,ファナック株式会社,"G05B19/042 
G05B19/418@Z",2016-04-25,1,4,2016,G05B,"G05B19/04
G05B19/41",['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）'],"['数値制御以外のプログラム制御，すなわち．シーケンス制御装置または論理制御装置におけるもの（Ｇ０５Ｂ１９／４１８が優先；数値制御Ｇ０５Ｂ１９／１８）']
['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']"
90,91,特願2016-238031,特許6224811,"2016/12/07
2017/11/01
2017/10/13",ルールセットを選択可能な推論エンジンを有するプログラム、装置及び方法,たけおかラボ株式会社,"G06N5/04 
G06F17/30,170@A 
G06F17/30,330@C 
他",2016-12-07,1,12,2016,"他
G06F
G06N","G06N5/04
G06F17/30
G06F17/30
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['特定の計算モデルに基づくコンピュータ・システム［７］']","['推論方法または装置［７］']
['情報検索；そのためのデータベース構造［６］']
['情報検索；そのためのデータベース構造［６］']
[]"
91,92,特願2016-252936,特開2017-194949,"2016/12/27
2017/10/26
2018/03/09",対象物検出システム及び対象物検出方法,財団法人車輌研究測試中心,"G06T7/00,650 
G06T7/00,350@B 
G08G1/16@C",2016-12-27,1,12,2016,"G08G
G06T","G06T7/00
G06T7/00
G08G1/16@","['交通制御システム（鉄道交通の案内，保安Ｂ６１Ｌ；特に交通制御に適したレーダまたは類似の方式，ソナーまたはライダー方式Ｇ０１Ｓ１３／９１，Ｇ０１Ｓ１５／８８，Ｇ０１Ｓ１７／８８；特に衝突防止目的に適したレーダまたは類似の方式，ソナーまたはライダー方式Ｇ０１Ｓ１３／９３，Ｇ０１Ｓ１５／９３，Ｇ０１Ｓ１７／９３；陸上，水中，空中または宇宙用運送手段について，交通環境に特化しない位置，進路，高度または姿勢の制御Ｇ０５Ｄ１／００）［２］']
['イメージデータ処理または発生一般［６，８］']","['イメージ分析［２０１７．０１］']
['イメージ分析［２０１７．０１］']
[]"
92,93,特願2016-081274,特開2017-191036,"2016/04/14
2017/10/19
-",ガス分析装置およびガス分析方法,富士通株式会社,"G01N27/12@C 
G01N27/12@D",2016-04-14,1,4,2016,G01N,"G01N27/12
G01N27/12",['材料の化学的または物理的性質の決定による材料の調査または分析（参照，免疫分析以外の酵素または微生物を含む測定または試験Ｃ１２Ｍ，Ｃ１２Ｑ）'],"['流体の吸収による固体の；流体との反応による固体の']
['流体の吸収による固体の；流体との反応による固体の']"
93,94,特願2016-076993,特開2017-187960,"2016/04/07
2017/10/12
-",情報処理装置,ソニーモバイルコミュニケーションズ株式会社,"G06F3/038,310@Y 
G06F3/048 
G06F3/01,510",2016-04-07,1,4,2016,G06F,"G06F3/038
G06F3/048
G06F3/01",['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）'],"['その制御インタフェース装置，例．ドライバまたはデバイスに埋め込まれた制御回路［８，２０１３．０１］']
['グラフィカルユーザインタフェース［ＧＵＩ］に基づく相互作用技術［８，２０１３．０１］']
['ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［８］']"
94,95,特願2016-075476,特開2017-185577,"2016/04/04
2017/10/12
-",シミュレーション結果を利用して学習を行う機械学習装置，機械システム，製造システムおよび機械学習方法,ファナック株式会社,"B25J9/22@A 
G05B19/4155@V 
G06N99/00,150 
他",2016-04-04,1,4,2016,"他
G06N
G05B
B25J","B25J9/22@
G05B19/41
G06N99/00
他","[]
['特定の計算モデルに基づくコンピュータ・システム［７］']
['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']
['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］']","[]
['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
[]"
